feeds,label,format,name
http://fetchrss.com/rss/6414305008f26050a0014963649167db3318f06ddc4a6093.xml,tvshows,website,ComingSoon
https://www.denofgeek.com/rss,tvshows,website,Den Of Geek
http://fetchrss.com/rss/6414305008f26050a00149636492ac9cbd6c00550f06a0a3.xml,tvshows,website,BGR
http://fetchrss.com/rss/6414305008f26050a00149636492acdf1ba1a03f2c2fa842.xml,tvshows,website,The Hollywood Reporter
http://fetchrss.com/rss/6414305008f26050a00149636491780b21cd0a3c915899a2.xml,tvshows,podcast,Pilot TV
http://fetchrss.com/rss/6414305008f26050a00149636491787e95c645084527b8b2.xml,tvshows,podcast,Post Show Recaps
http://feeds.libsyn.com/78637/rss,tvshows,podcast,Canceled Too Soon
https://feeds.feedburner.com/spoilerintimeaudio,tvshows,podcast,It's Spoilering Time
https://www.theatlantic.com/feed/all/,ainews,website,The Atlantic
http://fetchrss.com/rss/6414305008f26050a001496364944e6dce4b834f5a418f82.xml,climate,website,The Journal
https://www.interconnects.ai/feed,ainews,newsletter,Interconnects
https://feed.podbean.com/wempower/feed.xml,media,podcast,Wempower
http://feeds.libsyn.com/171185/rss,media,podcast,Coffee with a Journalist
https://anchor.fm/s/47aac444/podcast/rss,media,podcast,The Data Journalism Podcast
http://fetchrss.com/rss/6414305008f26050a001496364c8bb576f600648d4326823.xml,media,website,Digiday
http://podcasternews.com/feed/,media,website,Podcast News
http://fetchrss.com/rss/64d135b122c5a66a0875d79364d13585e10be2690c30a752.xml,crypto,website,cryptonews.com
